Ticker,Status,EPS_Source
DVA,red,EDGAR
EE,red,EDGAR
R,red,EDGAR
OBK,red,EDGAR
VMI,red,EDGAR
UNFI,insufficient,EDGAR
WCC,red,EDGAR
FTNT,red,EDGAR
BKR,insufficient,insufficient
BLX,insufficient,insufficient
POWL,red,EDGAR
PSMT,red,EDGAR
ITRN,insufficient,insufficient
UTHR,red,EDGAR
NMM,red,EDGAR
MAR,red,EDGAR
SANM,red,EDGAR
OKE,red,EDGAR
ATI,red,EDGAR
RMBS,red,EDGAR
FLEX,red,EDGAR
NXT,red,EDGAR
STT,red,EDGAR
CPRX,red,EDGAR
TXN,red,EDGAR
ASTS,red,EDGAR
PNTG,red,EDGAR
FCEL,red,EDGAR
URGN,insufficient,insufficient
ARM,red,EDGAR
ROST,red,EDGAR
BOKF,yellow,EDGAR
ELVN,red,EDGAR
NXPI,red,EDGAR
LIND,insufficient,EDGAR
LOCO,red,EDGAR
LEA,red,EDGAR
JBHT,green,EDGAR
WST,red,EDGAR
LNTH,red,EDGAR
AA,red,EDGAR
PWR,red,EDGAR
FDX,red,EDGAR
CHRW,red,EDGAR
BW,insufficient,EDGAR
LQDT,red,EDGAR
CTS,red,EDGAR
OCS,insufficient,insufficient
TSEM,red,EDGAR
RKLB,red,EDGAR
CCNE,green,EDGAR
PKE,insufficient,EDGAR
NDSN,red,EDGAR
VSAT,red,EDGAR
WT,insufficient,EDGAR
ROK,red,EDGAR
NVMI,red,EDGAR
DY,red,EDGAR
DAL,red,EDGAR
CW,green,EDGAR
CASY,red,EDGAR
NPCE,red,EDGAR
MUSA,red,EDGAR
BURL,red,EDGAR
MITK,red,EDGAR
CHEF,red,EDGAR
SYRE,red,EDGAR
RRX,red,EDGAR
BSTZ,insufficient,insufficient
DTM,red,EDGAR
STLD,green,EDGAR
CGNX,red,EDGAR
AXTI,insufficient,EDGAR
PAGP,insufficient,insufficient
FORM,insufficient,EDGAR
CSCO,yellow,EDGAR
WSFS,red,EDGAR
GS,red,EDGAR
NSA,red,EDGAR
C,red,EDGAR
INGM,red,EDGAR
TRVI,insufficient,EDGAR
FCFS,red,EDGAR
IBKR,red,EDGAR
NVGS,red,EDGAR
KLAC,red,EDGAR
AAPL,red,EDGAR
MDGL,red,EDGAR
KEX,red,EDGAR
RMT,insufficient,insufficient
AMAT,red,EDGAR
MS,red,EDGAR
FN,green,EDGAR
RLAY,red,EDGAR
NBN,insufficient,insufficient
ZGN,insufficient,insufficient
RL,red,EDGAR
NWPX,red,EDGAR
CRUS,red,EDGAR
STRL,red,EDGAR
EIX,red,EDGAR
BNY,insufficient,insufficient
TNK,insufficient,insufficient
GRC,red,EDGAR
EME,red,EDGAR
BE,insufficient,EDGAR
BWA,red,EDGAR
PLXS,red,EDGAR
GTX,yellow,EDGAR
MOV,insufficient,EDGAR
OVV,insufficient,EDGAR
BAP,insufficient,insufficient
CFG,green,EDGAR
CRS,red,EDGAR
AXSM,red,EDGAR
COHU,red,EDGAR
COCO,insufficient,EDGAR
SCCO,yellow,EDGAR
MNST,red,EDGAR
TEN,insufficient,EDGAR
EXEL,red,EDGAR
MCB,red,EDGAR
AMKR,insufficient,EDGAR
WBS,red,EDGAR
PGC,green,EDGAR
MOG.A,insufficient,insufficient
FBNC,insufficient,EDGAR
IMUX,red,EDGAR
MAMA,insufficient,EDGAR
MLI,red,EDGAR
BPOP,red,EDGAR
DELL,green,EDGAR
HWM,green,EDGAR
KGS,insufficient,EDGAR
SNEX,green,EDGAR
MKSI,red,EDGAR
KEYS,red,EDGAR
MXL,red,EDGAR
ENTA,insufficient,EDGAR
IMAX,insufficient,EDGAR
IFS,insufficient,insufficient
PAA,insufficient,insufficient
ENVA,red,EDGAR
CLMT,red,EDGAR
GOOG,red,EDGAR
APLD,insufficient,EDGAR
HR,red,EDGAR
ECG,red,EDGAR
MG,red,EDGAR
LRCX,insufficient,EDGAR
EQIX,insufficient,EDGAR
GVA,red,EDGAR
SNX,green,EDGAR
HST,red,EDGAR
REX,red,EDGAR
STX,red,EDGAR
DBRG,insufficient,EDGAR
TER,red,EDGAR
FCX,red,EDGAR
AROC,red,EDGAR
WSR,insufficient,EDGAR
LUNR,red,EDGAR
TWST,red,EDGAR
AGX,red,EDGAR
ETON,insufficient,EDGAR
MAC,red,EDGAR
GHM,red,EDGAR
EZPW,red,EDGAR
CYRX,insufficient,EDGAR
VLY,yellow,EDGAR
IESC,red,EDGAR
DD,red,EDGAR
HLIO,red,EDGAR
NATL,red,EDGAR
SEI,insufficient,insufficient
HCSG,red,EDGAR
INSW,red,EDGAR
SLAB,red,EDGAR
CTRE,red,EDGAR
FTK,insufficient,EDGAR
SITM,red,EDGAR
LASR,yellow,EDGAR
VIRT,red,EDGAR
GSAT,insufficient,EDGAR
KZIA,insufficient,insufficient
ADTN,red,EDGAR
CORZ,red,EDGAR
ANAB,red,EDGAR
PRLB,insufficient,EDGAR
MRCY,red,EDGAR
JBL,red,EDGAR
ALGM,insufficient,EDGAR
CYD,insufficient,insufficient
ANIK,red,EDGAR
SEDG,red,EDGAR
CALY,insufficient,EDGAR
NUE,red,EDGAR
KRYS,red,EDGAR
TRGP,yellow,EDGAR
SIMO,insufficient,insufficient
AVNS,insufficient,EDGAR
TVTX,red,EDGAR
OCC,insufficient,insufficient
SMTC,red,EDGAR
AAOI,red,EDGAR
RLYB,red,EDGAR
ADI,red,EDGAR
PSTL,insufficient,EDGAR
LINC,insufficient,EDGAR
BEAM,red,EDGAR
INTC,insufficient,EDGAR
TXG,red,EDGAR
PTEN,insufficient,EDGAR
OII,red,EDGAR
BEN,red,EDGAR
WATT,red,EDGAR
SFST,red,EDGAR
VTRS,insufficient,EDGAR
PUMP,insufficient,EDGAR
ARW,green,EDGAR
AMG,red,EDGAR
DK,red,EDGAR
MANU,insufficient,insufficient
VPG,insufficient,EDGAR
VELO,red,EDGAR
JBIO,red,EDGAR
UFCS,red,EDGAR
CUBI,green,EDGAR
HG,red,EDGAR
JHG,red,EDGAR
PHIN,red,EDGAR
ZM,red,EDGAR
FIX,red,EDGAR
DOCN,red,EDGAR
NVDA,green,EDGAR
LPG,red,EDGAR
MTZ,green,EDGAR
VVX,red,EDGAR
MPC,green,EDGAR
BFH,insufficient,EDGAR
VIK,insufficient,insufficient
IRM,insufficient,EDGAR
AMD,red,EDGAR
ECO,insufficient,insufficient
DXYZ,insufficient,insufficient
VRT,red,EDGAR
TTMI,insufficient,EDGAR
PSX,insufficient,EDGAR
AVGO,red,EDGAR
SPB,insufficient,EDGAR
MYE,red,EDGAR
CBL,red,EDGAR
FRO,red,EDGAR
KNTK,red,EDGAR
ACA,red,EDGAR
KLIC,red,EDGAR
CIEN,insufficient,EDGAR
MCY,green,EDGAR
CENX,red,EDGAR
UVE,red,EDGAR
XHR,insufficient,EDGAR
WDC,green,EDGAR
TFIN,insufficient,EDGAR
KOP,red,EDGAR
VAL,red,EDGAR
DIOD,insufficient,EDGAR
PACS,insufficient,EDGAR
KALU,red,EDGAR
ORN,insufficient,EDGAR
TIGO,insufficient,insufficient
GLW,red,EDGAR
BTSG,insufficient,EDGAR
CARE,red,EDGAR
DCOM,red,EDGAR
SCHL,insufficient,EDGAR
MYRG,red,EDGAR
DAVE,insufficient,EDGAR
VLO,yellow,EDGAR
TOYO,insufficient,EDGAR
GEV,insufficient,EDGAR
PDFS,insufficient,EDGAR
MU,red,EDGAR
VICR,insufficient,EDGAR
AZZ,red,EDGAR
CSTM,insufficient,EDGAR
MTRN,red,EDGAR
FLYW,insufficient,EDGAR
TGTX,insufficient,EDGAR
FRST,insufficient,EDGAR
CRDO,insufficient,EDGAR
FTAI,red,EDGAR
ATEX,red,EDGAR
LIVN,red,EDGAR
GFS,insufficient,insufficient
CMP,red,EDGAR
NBIS,insufficient,insufficient
ASYS,insufficient,EDGAR
RELL,insufficient,EDGAR
RFIL,insufficient,EDGAR
COHR,red,EDGAR
ECPG,red,EDGAR
OSS,insufficient,EDGAR
ROKU,insufficient,EDGAR
MTX,red,EDGAR
GCO,red,EDGAR
AHR,insufficient,EDGAR
DINO,insufficient,EDGAR
SSSS,insufficient,EDGAR
LQDA,green,EDGAR
RNG,insufficient,EDGAR
SNDK,red,EDGAR
FVR,insufficient,EDGAR
NGL,insufficient,insufficient
MLAB,red,EDGAR
NEXA,insufficient,insufficient
PLGO,green,EDGAR
ILMN,red,EDGAR
TBRG,insufficient,EDGAR
INDV,red,EDGAR
TX,insufficient,insufficient
MTSI,red,EDGAR
GRDN,insufficient,insufficient
MRVL,red,EDGAR
SPIR,red,EDGAR
SKYT,insufficient,EDGAR
SPHR,red,EDGAR
LB,insufficient,EDGAR
KNSA,red,EDGAR
MSBI,red,EDGAR
MRX,insufficient,insufficient
NTCT,red,EDGAR
RAMP,insufficient,EDGAR
TWLO,insufficient,EDGAR
TK,insufficient,insufficient
ATRO,insufficient,EDGAR
FLOC,insufficient,EDGAR
KALV,insufficient,EDGAR
NBR,red,EDGAR
CLBK,insufficient,EDGAR
VSH,insufficient,EDGAR
ASND,insufficient,insufficient
OOMA,insufficient,EDGAR
KN,insufficient,EDGAR
MCHP,insufficient,EDGAR
LITE,green,EDGAR
LGND,insufficient,EDGAR
